2023-07-24 20:07:442 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:525 INFO  ResultPage :71 - select value : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //select[@id='response']]
2023-07-24 20:07:633 INFO  ResultPage :77 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:672 INFO  ResultPage :83 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //input[@id='response-1']]
2023-07-24 20:07:804 INFO  ResultPage :90 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:858 INFO  ResultPage :95 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //input[@id='response-1']]
2023-07-24 20:07:985 INFO  ResultPage :100 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:55 INFO  ResultPage :105 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //input[@id='response-0']]
2023-07-24 20:07:256 INFO  ResultPage :110 - Clicking on Element : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:331 INFO  ResultPage :114 - Get Text : [[ChromeDriver: chrome on windows (fd1c2ff8b92155fbca561099c672ea7d)] -> xpath: //h2[contains(text(),'You need a visa to work in health and care')]]
2023-07-24 20:07:787 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (feaf9c08b422d3febac55ff64ea37355)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:840 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (feaf9c08b422d3febac55ff64ea37355)] -> xpath: //select[@id='response']]
2023-07-24 20:07:06 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (feaf9c08b422d3febac55ff64ea37355)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:52 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (feaf9c08b422d3febac55ff64ea37355)] -> xpath: //input[@id='response-4']]
2023-07-24 20:07:236 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 20:07:436 INFO  DurationOfStayPage :37 - Clicking on Element : [[ChromeDriver: chrome on windows (feaf9c08b422d3febac55ff64ea37355)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[1]/div[1]/div[2]/div[1]/div[1]/p[3]/a[1]]
2023-07-24 20:07:709 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (f1b24e8f8d6fbe904aa0be2b16d8a1bf)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:763 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (f1b24e8f8d6fbe904aa0be2b16d8a1bf)] -> xpath: //select[@id='response']]
2023-07-24 20:07:915 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (f1b24e8f8d6fbe904aa0be2b16d8a1bf)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:997 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (f1b24e8f8d6fbe904aa0be2b16d8a1bf)] -> xpath: //input[@id='response-4']]
2023-07-24 20:07:181 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 20:07:413 INFO  DurationOfStayPage :37 - Clicking on Element : [[ChromeDriver: chrome on windows (f1b24e8f8d6fbe904aa0be2b16d8a1bf)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[1]/div[1]/div[2]/div[1]/div[1]/p[3]/a[1]]
2023-07-24 20:07:50 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (ad9c156c67e45bcf970a0c6a1e90662b)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:99 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (ad9c156c67e45bcf970a0c6a1e90662b)] -> xpath: //select[@id='response']]
2023-07-24 20:07:239 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (ad9c156c67e45bcf970a0c6a1e90662b)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:344 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (ad9c156c67e45bcf970a0c6a1e90662b)] -> xpath: //input[@id='response-4']]
2023-07-24 20:07:504 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 20:07:481 INFO  DurationOfStayPage :71 - Text : Proxy element for: DefaultElementLocator 'By.xpath: //p[contains(text(),'You need a family visa to live with a family membe')]'
2023-07-24 20:07:221 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (8e4521365d015ec809aa10dfed6f8cac)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 20:07:277 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (8e4521365d015ec809aa10dfed6f8cac)] -> xpath: //select[@id='response']]
2023-07-24 20:07:408 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (8e4521365d015ec809aa10dfed6f8cac)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 20:07:473 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (8e4521365d015ec809aa10dfed6f8cac)] -> xpath: //input[@id='response-4']]
2023-07-24 20:07:682 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 20:07:315 INFO  DurationOfStayPage :71 - Text : Proxy element for: DefaultElementLocator 'By.xpath: //p[contains(text(),'You need a family visa to live with a family membe')]'
2023-07-24 21:07:611 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (a500e8958b71a74bd613da200aad377a)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:665 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (a500e8958b71a74bd613da200aad377a)] -> xpath: //select[@id='response']]
2023-07-24 21:07:806 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (a500e8958b71a74bd613da200aad377a)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:880 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (a500e8958b71a74bd613da200aad377a)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:305 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:231 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (4b475fe60f3efa418c50d70f469c06f9)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:283 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (4b475fe60f3efa418c50d70f469c06f9)] -> xpath: //select[@id='response']]
2023-07-24 21:07:453 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (4b475fe60f3efa418c50d70f469c06f9)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:490 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (4b475fe60f3efa418c50d70f469c06f9)] -> xpath: //input[@id='response-4']]
